"Participant_number","Fictional_story","Abstract_shapes","Sensory_sensations","Life_experiences","Media","Music","Future_plans","Building","Everyday","Movement_mem","Mem_description","Mem_music_evoked","Mem_spontaneity","Mem_individuality","Movement_story","Story_description","Story_music_evoked","Story_spontaneity","Story_individuality","Other_info","Age","Gender","Music_listening","Practice","Location","ID"
117,"Not at all","Not at all","Not at all","Not at all","Not at all","A moderate amount of the time","Not at all","Not at all","A small amount of the time",NA,"a big blank","Not at all","Not at all","Entirely",NA,"N. a.","Not at all","Not at all","Entirely",NA,"81","Male","Frequently",NA,"C",NA
118,"Not at all","Not at all","Not at all","A small amount of the time","Not at all","All of the time","Not at all","Not at all","Not at all",NA,"I was just enjoying the music",NA,NA,NA,NA,"I was not imagining any scenes",NA,NA,NA,NA,"75","Female","Moderately frequently",NA,"B",NA
119,"Most of the time","Most of the time","A small amount of the time","A moderate amount of the time","Most of the time","A moderate amount of the time","A small amount of the time","A small amount of the time","A small amount of the time","H3","Roaming through the woods leaping around live","Mostly","Moderately","Moderately","B3","Mine and tohe oral enjoying each other's company","Mostly","Moderately","Moderately","I loved the exciting times of the music and the playing off of each other.","82","Female","Moderately frequently",50,"B",NA
120,"Most of the time","A small amount of the time","Not at all","A moderate amount of the time","Not at all","A moderate amount of the time","Not at all","Not at all","A small amount of the time","B1","Scene of children at play, throwing a ball around, having a little spat, laughing and yelling at each other","Entirely","Mostly","Moderately","B2","Journey through a woods, encountering sunlit glades and some dark regions filled with shadows - but then emerging back onto the path and seeing birds and flowers","Mostly","Moderately","Mostly","The Hough didn't do it for me...","84","Male","Moderately frequently",0,"F",NA
NA,"Most of the time","A small amount of the time","Not at all","A moderate amount of the time","A small amount of the time","Most of the time","Most of the time","A moderate amount of the time","A small amount of the time","B1",NA,"Slightly","Mostly","Mostly","B2",NA,"Moderately","Mostly","Mostly",NA,"20","Female","Very frequently",15,"K","01/10/5716"
NA,"A small amount of the time","Not at all","Not at all","A small amount of the time","Not at all","Most of the time","Most of the time","A small amount of the time","Most of the time","H5",NA,"Moderately","Mostly","Entirely","H4",NA,"Mostly","Moderately","Slightly",NA,"48","Male","Frequently",20,"D","Sep0403"
NA,"A moderate amount of the time","Not at all","Not at all","A small amount of the time","Not at all","Most of the time","A moderate amount of the time","A small amount of the time","A moderate amount of the time","H6","Thoughts of being in a church in Paris. Quite literal, directed by the title of the music but also the music itself.","Entirely","Entirely","Entirely","B1","Children playing in a field, summertime. Frolicking.","Mostly","Entirely","Entirely",NA,"54","Female","Moderately frequently",10,"I","Jul0850"
NA,"A moderate amount of the time","Not at all","Not at all","A moderate amount of the time","A small amount of the time","Most of the time","Not at all","Not at all","Not at all","H3",NA,"Moderately","Mostly","Moderately","H4",NA,"Mostly","Mostly","Moderately",NA,"52","Male","Very frequently",0,"G","01/06/6797"
NA,"A small amount of the time","A small amount of the time","A small amount of the time","A small amount of the time","Not at all","Most of the time","A small amount of the time","A small amount of the time","A moderate amount of the time","H4","Probably stimulated by Stephen Hough’s comments, marionettes","Slightly","Mostly","Not at all","H4","Same: marionettes","Moderately","Mostly","Not at all",NA,"73","Male","Moderately frequently",0,"C","Dec793"
NA,"Most of the time","Not at all","A small amount of the time","A small amount of the time","Not at all","Most of the time","A moderate amount of the time","A small amount of the time","A moderate amount of the time","B1","pleasant walks through nature","Entirely","Slightly","Mostly","H6",NA,"Entirely","Moderately","Moderately",NA,"69","Male","Moderately frequently",0,"J","jan"
NA,"Not at all","Not at all","Not at all","All of the time","Not at all","A moderate amount of the time","Most of the time","Not at all","A moderate amount of the time","B2","I was on an Amtrak train to Washington DC","Not at all","Entirely","Entirely","H2","Knowing the piece was called Au Parc I was imagining a park in Paris which I know","Moderately","Moderately","Mostly","I thought about at least twenty different subject  I did too think about past musical experiences but mostly it was the stuff of my life that came to mind","50","Male","Very frequently",30,"H","Aug1588"
NA,"Not at all","Not at all","Not at all","A small amount of the time","A moderate amount of the time","A small amount of the time","Most of the time","Not at all","A small amount of the time","H2","Stroll in the park","Slightly","Moderately","Mostly","H1",NA,"Slightly","Moderately","Moderately",NA,"28","Female","Somewhat rarely",0,"G","vm1012"
NA,"Not at all","Not at all","Not at all","Most of the time","Not at all","A small amount of the time","A small amount of the time","A moderate amount of the time","A moderate amount of the time","B2","I remembered an evening I spent with a girl I dated. Would not go into too much detail, but I remembered making out and cuddling.","Moderately","Mostly","Slightly","B3","I imagined a scene of me running on the Towpath. (I do this weekly, so not entirely fictional)","Slightly","Mostly","Mostly","I also remembered a lot of things I have been thinking during the past week","26","Male","Frequently",10,"K","01/08/2552"
NA,"Not at all","A small amount of the time","Not at all","A small amount of the time","Not at all","A small amount of the time","A small amount of the time","Not at all","A small amount of the time","B1","Previous attendance at a classical music concert- in fact, Takacs playing Beethoven.","Moderately","Mostly","Mostly","H1","Just a city scene, maybe Paris","Mostly","Mostly","Moderately",NA,"55","Male","Moderately frequently",0,"I","feb1680"
NA,"Not at all","Not at all","Not at all","A small amount of the time","Not at all","Most of the time","Not at all","Not at all","A small amount of the time","H2",NA,"Moderately","Moderately","Slightly",NA,NA,"Not at all","Not at all","Not at all",NA,"56","Female","Very frequently",45,"I","01/11/8823"
NA,"A moderate amount of the time","A moderate amount of the time","Most of the time","A moderate amount of the time","A moderate amount of the time","A moderate amount of the time","Not at all","A moderate amount of the time","Not at all","H6","Waiting for the spring to come.","Mostly","Moderately","Mostly","H4","Yearning for renewal","Mostly","Moderately","Mostly",NA,"67","Female","Frequently",2,"A","01/12/8339"
NA,"A small amount of the time","Not at all","Not at all","Not at all","A small amount of the time","All of the time","Not at all","A small amount of the time","A small amount of the time","B2","Thought about a Hitchcock film.","Mostly","Entirely","Mostly",NA,NA,"Mostly","Entirely","Entirely",NA,"71","Male","Moderately frequently",60,"J","Jan0602"
NA,"Most of the time","A small amount of the time","A small amount of the time","A moderate amount of the time","A moderate amount of the time","Most of the time","A moderate amount of the time","Not at all","A small amount of the time","B1","an old relative who passed when i was about ~6. he loved playing classical music on CDs.","Mostly","Entirely","Mostly","H6","a made up scene from games like undertale, omori, and celeste. This part of the music made me feel like I was back in the game. Some parts felt like I was saving my game in undertale (for context you should ask someone who has played the game or search for more details) the scene that goes ""___ fills you with determination"" its like I was the character playing and I am walking through the game story","Entirely","Entirely","Mostly",NA,"16","Other","Somewhat rarely",10,"F","01/04/5778"
NA,"A moderate amount of the time","Not at all","Not at all","A moderate amount of the time","Not at all","Most of the time","A moderate amount of the time","A small amount of the time","Not at all","H2","It was the calm and beauty of a park back in the 1920’s","Entirely","Mostly","Entirely","H5","It was full of suffering and pain, hope and disappointment","Entirely","Entirely","Mostly",NA,"53","Male","Moderately frequently",18,"I","aug318"
NA,"Most of the time","Not at all","Not at all","A small amount of the time","Not at all","Most of the time","A small amount of the time","Not at all","A small amount of the time","H5",NA,"Entirely","Entirely","Entirely","H2",NA,"Entirely","Entirely","Entirely",NA,"68","Male","Moderately frequently",10,"D","01/02/2855"
NA,"A small amount of the time","Most of the time","Not at all","Most of the time","A moderate amount of the time","A moderate amount of the time","A moderate amount of the time","Not at all","A moderate amount of the time","B1","Reminded me of a kind of bad movie about Beethoven that I watched once, not necessarily the memory I would’ve chosen but there it was","Entirely","Entirely","Mostly","H4","Prompted by the movement descriptions I pictured scenes that resembled Toulouse Lautrec paintings","Mostly","Entirely","Moderately",NA,"61","Female","Frequently",NA,"J","Jan1791"
NA,"All of the time","Not at all","Not at all","A moderate amount of the time","A moderate amount of the time","Most of the time","All of the time","Not at all","A small amount of the time","B1","I’d prefer not to share.","Moderately","Moderately","Entirely","H3","I’d prefer not to share.","Mostly","Mostly","Entirely",NA,"30","Female","Somewhat rarely",4,"J","01/05/4726"
NA,"Not at all","Not at all","Most of the time","Not at all","A small amount of the time","Most of the time","Most of the time","A moderate amount of the time","A moderate amount of the time","B2","Childhood games","Moderately","Moderately","Not at all","H6","Truffaut movie title sequence","Mostly","Mostly","Moderately",NA,"75","Male","Very frequently",6,"J","Mar0295"
NA,"A moderate amount of the time","A small amount of the time","A small amount of the time","A small amount of the time","A small amount of the time","A small amount of the time","Not at all","A small amount of the time","Not at all","B2","Sad feeling, dramatic scenes","Mostly","Mostly","Moderately","H4","Stage performance with multiple composers, artists, even singers and painters played interactively","Mostly","Entirely","Entirely","Heard Jazz and old melodies in second movement","59","Male","Frequently",0,"I","01/11/6593"
NA,"Not at all","Not at all","A moderate amount of the time","A small amount of the time","Not at all","A moderate amount of the time","A small amount of the time","Not at all","A moderate amount of the time","B2","Swimming in the ocean as a child","Entirely","Entirely","Mostly","H2","Strolling gleefully in the parc with a friend","Entirely","Entirely","Mostly","Beethoven first movement brought rain drops to mind","62","Female","Moderately frequently",8,"J","01/08/2261"
NA,"A small amount of the time","Not at all","Not at all","A moderate amount of the time","A small amount of the time","Most of the time","A small amount of the time","A small amount of the time","A small amount of the time","H1","Not a memory. Just a visceral reaction to the bright harmonies. Very stimulating!","Mostly","Mostly","Mostly","B4","Galluping on a horse","Entirely","Entirely","Moderately","None","60","Male","Frequently",46,"K","01/11/2238"
NA,"A small amount of the time","Not at all","Not at all","Not at all","A small amount of the time","Most of the time","Not at all","A small amount of the time","A small amount of the time","H6","Sporting events with multiple actions going on at the same time.","Moderately","Slightly","Mostly","H6","I imagined multiple individuals moving frantically in different directions.","Entirely","Mostly","Moderately",NA,"73","Male","Moderately frequently",0,"E","Aug0983"
NA,"A small amount of the time","A small amount of the time","Not at all","Not at all","Not at all","Most of the time","A moderate amount of the time","A moderate amount of the time","A moderate amount of the time","H6","The movement me think of Vivaldi","Mostly","Entirely","Moderately","H2","I imagined an outdoor scene with many people","Mostly","Slightly","Slightly","The intro by Hough may have anchored my thoughts","64","Female","Very frequently",5,"J","Jun1295"
NA,"Not at all","A small amount of the time","Not at all","A moderate amount of the time","Not at all","Most of the time","A small amount of the time","Not at all","A moderate amount of the time","B2","Beautiful pastoral images abstract","Mostly","Entirely","Mostly",NA,"I did not imagine anything except wandering associations about Paris due to the music or Houghs remarks?","Mostly","Entirely","Mostly",NA,"68","Female","Moderately frequently",2,"A","01/03/2107"
NA,"Most of the time","A moderate amount of the time","Not at all","A small amount of the time","Not at all","A moderate amount of the time","All of the time","All of the time","Most of the time","H3","I remember a bustling hotel in Istanbul that I visited with my family, it was very elaborate, with a lot of red colors. It had couches, a lot of flowers, a lot of magazines, and there were a lot of people walking around. I don’t remember any particular smells or sensory feelings.","Mostly","Mostly","Slightly","H4","A group of French intellectuals sat down at the theater right before the start of a show, waiting for their friends and all sorts of other reputable and dubious personages to take their seats. Then the actual play begins: perhaps something a bit burlesque.","Entirely","Moderately","Slightly",NA,"18","Male","Very frequently",10,"G","01/02/8120"
NA,"Not at all","Not at all","Not at all","Not at all","Not at all","Most of the time","Not at all","Not at all","Not at all","B2",NA,"Not at all","Entirely","Entirely","B2",NA,"Not at all","Entirely","Entirely",NA,"36","Male","Very frequently",33,"H","Sep1864"
NA,"A small amount of the time","Not at all","Not at all","A small amount of the time","Not at all","A moderate amount of the time","Not at all","Not at all","A small amount of the time","B2","Of floating through fields full blossoms and bounties.","Moderately","Mostly","Mostly","B3","Fields or farms full of bounty","Mostly","Mostly","Mostly",NA,"58","Female","Moderately frequently",0,"G","01/01/3561"
NA,"Not at all","Not at all","Not at all","A small amount of the time","Not at all","Most of the time","Not at all","A small amount of the time","Not at all","B2","Tenderness. It was much more emotions (lambic system) because my visual system was occupied by the facial expressions and movements of the performers.","Slightly","Slightly","Mostly","B2","It was emotions not a scene or story","Mostly","Mostly","Mostly",NA,"2/3 of a century yesterday","Male","Very frequently",8,"J","01/06/6416"
NA,"A small amount of the time","Not at all","A small amount of the time","A moderate amount of the time","A small amount of the time","A small amount of the time","A small amount of the time","Not at all","A small amount of the time","H1","Cars driving along the champs elyssee, scenes from an American in Paris.","Moderately","Slightly","Not at all","B4","A March or stroll through the country side.","Slightly","Slightly","Slightly",NA,"64","Male","Very frequently",0,"C","01/07/4849"
NA,"Not at all","Not at all","A small amount of the time","A small amount of the time","A small amount of the time","A moderate amount of the time","A small amount of the time","Most of the time","A small amount of the time","H2","I was in Paris in November 2024. I walked with my mother in Tuileries park. It was gloomy as it was raining. We had umbrellas. There were many people in the park. The park was beautiful.","Entirely","Entirely","Entirely","B1","I imagined a scene during Beethoven’s time. In the scene a beautiful lady walks in the garden of a grand mansion. The garden is well maintained and full of colorful flowers.","Entirely","Mostly","Entirely",NA,"48","Female","Very frequently",5,"J","01/04/6638"
NA,"A small amount of the time","A moderate amount of the time","Not at all","Most of the time","Not at all","All of the time","Most of the time","A moderate amount of the time","Most of the time","H2","I kept seeing the mundane, less commercial streets of Paris that I remembered from when I went there with my family 14 years ago... I remembered light gray, cobblestone alternating with pavement, clean and neat. Fall light: a dull but lovely golden afternoon/early evening sunlight through moody november clouds. I remember absolutely no person but the streets, the streets between various tiny parks in the city, and somehow green trees - not too tall, thin bodies.","Entirely","Entirely","Mostly","B3","Influenced by Vikram Seth's An Equal Music perhaps, the novel, I imagined I was part of a string quartet, auditioning for one whoae members are already old. I only imagined the fictional anticipation, excitement, hope.","Mostly","Mostly","Moderately",NA,"28","Female","Very frequently",0,"G","01/02/6061"
NA,"A moderate amount of the time","A small amount of the time","Not at all","Not at all","A small amount of the time","Most of the time","Not at all","A moderate amount of the time","Not at all","B4",NA,"Not at all","Entirely","Entirely","H2",NA,"Entirely","Entirely","Entirely",NA,"51","Male","Frequently",0,"D","01/10/2743"
NA,"All of the time","All of the time","Not at all","A moderate amount of the time","Not at all","All of the time","A small amount of the time","A moderate amount of the time","A small amount of the time","B2","Can't recall","Mostly","Mostly","Mostly","H4","Vaudeville type setting in a run-down Parisian theater","Entirely","Entirely","Mostly",NA,"35","Male","Very frequently",30,"H","may0213"
NA,"Most of the time","A moderate amount of the time","A moderate amount of the time","Most of the time","Most of the time","Most of the time",NA,NA,NA,"B2",NA,"Mostly","Mostly","Moderately","B2",NA,"Mostly","Mostly","Moderately",NA,"63","Female","Very frequently",0,"I","May 2226"
NA,"A moderate amount of the time","A small amount of the time","A small amount of the time","Most of the time","Most of the time","Most of the time","A moderate amount of the time","Most of the time","A moderate amount of the time","H6","It brought back my visits to Paris, the restaurants, (as an accumulation of the previous pieces) and the people I met. The Barnhart’s escargot. 
But it is also connected with the waving trees in the park Luxembourg.","Mostly","Entirely","Entirely","B1","The first movement signals an opening of a season, it could be fictional then it is also based on experiences, and earlier exposure to this piece.  The scene was about low rolling hills, no trees, no animals and I was there, alone, owning the space and the fleeting time","Entirely","Entirely","Mostly","The great composer and the musicians connect the scenes into a big picture.  In part my imaginings were the expressions of the musicians who were able to connect me to the composer’s mind. An effect not possible listening to some streaming or even watching a video.  In fact it was about the listener “being seen”.","63","Male","Very frequently",0,"I","0220jzxd"
NA,"A moderate amount of the time","A moderate amount of the time","A moderate amount of the time","A moderate amount of the time","A moderate amount of the time","A moderate amount of the time","A moderate amount of the time","A small amount of the time","A small amount of the time","B3","It is so intriguing to make me daydream most of time.","Mostly","Moderately","Moderately","B2","It is summer time and people feel full of energy to do a lot of outdoor activities.","Moderately","Moderately","Moderately","It makes me to daydream.","69","Male","Somewhat rarely",0,"J","01/02/4546"
NA,"A moderate amount of the time","A small amount of the time","A small amount of the time","Not at all","A small amount of the time","All of the time","Not at all","A moderate amount of the time","A small amount of the time","B1","I've played this piece before, so I thought back to that performance!","Entirely","Entirely","Entirely","H6","It felt like a flying theme in a way, so I thought about a bird or similar flying themed in Harry Potter/How To Train Your Dragon.","Mostly","Moderately","Not at all",NA,"19","Female","Frequently",12,"I","apr1184"
NA,"A small amount of the time","Not at all","A small amount of the time","A small amount of the time","Not at all","Most of the time","Not at all","A small amount of the time","Not at all","H4","Imagining walking down the street in the sunshine, seeing the boulevard","Mostly","Entirely","Slightly","H4","Seeing people who seemed happy and content, walking down the street looking at cafes","Mostly","Entirely","Slightly","The Beethoven quartet was beautiful bu very intense and absorbing","69","Male","Frequently",60,"H","01/09/2201"
NA,"Not at all","Not at all","Not at all","All of the time","Not at all","A moderate amount of the time","Most of the time","A small amount of the time","Not at all","H5","The memory was of a strong feeling. The feeling of intense uncertainty and things going uncontrollably downhill just after experiencing something so joyful and exciting. This was for a three month or so period in my life recently. The downhill uncontrollable feeling was punctuated by sharp, biting “stabs to the heart” as things just got worse.","Mostly","Entirely","Entirely","H6",NA,"Mostly","Entirely","Entirely",NA,"19","Female","Moderately frequently",7,"K","01/07/7330"
NA,"A small amount of the time","A moderate amount of the time","Not at all","A moderate amount of the time","Not at all","A moderate amount of the time","A moderate amount of the time","Not at all","A small amount of the time","B2","Childhood memories of playing on a ground; the outline of a novel I once wanted to write","Moderately","Mostly","Mostly","H6","I imaged people living happily in a vivid, joyfulness scene after war","Mostly","Moderately","Not at all",NA,"28","Female","Very rarely",10,"B","mhy"
NA,"A small amount of the time","A small amount of the time","Not at all","A moderate amount of the time","Not at all","All of the time","Most of the time","A small amount of the time","Most of the time","B2",NA,"Slightly","Slightly","Mostly",NA,NA,NA,NA,NA,NA,"20","Male","Frequently",17,"J","jan1100"
NA,"Not at all","Not at all","Not at all","A moderate amount of the time","A small amount of the time","A moderate amount of the time","A moderate amount of the time","A small amount of the time","A small amount of the time","H6","It was a memory of composing music during my undergrad and having it workshopped in the concert hall. I remembered standing in front of the ensemble to play my piece. At times I imagined the piece I was listening to was my piece in that memory.","Mostly","Entirely","Entirely","B2","I didn’t imagine any fictional story. The survey did not give me the option to pick neither piece.","Not at all","Not at all","Not at all","I felt that being handed the survey at the beginning made me self conscious about what I imagined. Marina’s introduction made it seem like I should be daydreaming. So I don’t think I had a representative experience.","33","Male","Very frequently",22,"J","01/08/5040"
NA,"A moderate amount of the time","Not at all","Not at all","A moderate amount of the time","Not at all","Most of the time","A moderate amount of the time","A moderate amount of the time","Most of the time","B2",NA,"Slightly","Slightly","Moderately","H1",NA,"Moderately","Slightly","Not at all",NA,"21","Female","Frequently",13,"G","01/02/3028"
NA,"Not at all","Not at all","Not at all","Most of the time","Not at all","A moderate amount of the time","A small amount of the time","A small amount of the time","A small amount of the time","B2","Watching a performance at the Kennedy Center with my best friend and her parents, and being reprimanded for being silly.","Slightly","Moderately","Mostly","B3","Set in the past, it was a cobblestone street enclosed by old buildings; it was dark out and most likely cold. There were a few people and dim street lights.","Slightly","Mostly","Moderately","The music primarily made me think of my past, particularly since my father listened to a lot of classical and he is now old and has dementia so it’s easy to think about him, his life, and our relationship.","53","Female","Moderately frequently",4,"G","01/09/3603"
NA,"A small amount of the time","A small amount of the time","A small amount of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","B2","Home field scene with nice blue sky","Mostly","Mostly","Mostly","H4","Funky and strange paintings","Mostly","Moderately","Mostly","I love how musicians so involved their personal expressions to different music and styles","53","Male","Frequently",0,"B","Sep270"
NA,"All of the time","Most of the time","Most of the time","A moderate amount of the time","Most of the time",NA,NA,NA,NA,"H1",NA,"Mostly","Mostly","Mostly","H2",NA,"Mostly","Mostly","Mostly",NA,"63","Female","Very frequently",0,"I","01/05/2226"
NA,"A small amount of the time","Not at all","A small amount of the time","Not at all","Not at all","Most of the time","Not at all","A small amount of the time","Not at all","H4",NA,NA,NA,NA,"H4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/09/2201"
NA,"Not at all","A small amount of the time","Not at all","A small amount of the time","Not at all","A moderate amount of the time","Not at all","Not at all","A small amount of the time","B3","My piano teacher","Slightly","Slightly","Moderately","B2","How could Beethoven have imagine his music? How difficult for his audience to attend!","Mostly","Mostly","Slightly",NA,"73","Female","Very frequently",30,"J","01/11/6432"
